dataset,conf,Fold,Rep,RMSE_train,RMSE_test
airfoil,"{'popsize': 150, 'gens': 150, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c91e0>, 'sqrt.abs': <function <lambda> at 0x7f41873c9268>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",0,0,2.70766706077973,2.8432253273506687
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c90d0>, 'sqrt.abs': <function <lambda> at 0x7f4181ec5a60>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",0,1,3.1481320866089177,3.195675855435612
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c90d0>, 'sqrt.abs': <function <lambda> at 0x7f4181ec5a60>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",0,2,2.8936836354116737,3.1071158512919075
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c90d0>, 'sqrt.abs': <function <lambda> at 0x7f4181ec5a60>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",0,3,2.94499817000014,3.0662741068623296
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c90d0>, 'sqrt.abs': <function <lambda> at 0x7f4181ec5a60>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",0,4,3.295038983432662,3.378447700862995
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c90d0>, 'sqrt.abs': <function <lambda> at 0x7f4181ec5a60>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",0,5,3.0265649955704776,3.2387076601135023
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c90d0>, 'sqrt.abs': <function <lambda> at 0x7f4181ec5a60>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",1,0,3.0971722929129446,3.000517109737233
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c90d0>, 'sqrt.abs': <function <lambda> at 0x7f4181ec5a60>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",1,1,3.052014569674776,3.0267632228072383
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c90d0>, 'sqrt.abs': <function <lambda> at 0x7f4181ec5a60>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",1,2,2.8421490394390774,2.7607468346116906
airfoil,"{'popsize': 100, 'gens': 100, 'minterms': 1, 'model': LinearRegression(n_jobs=-1), 'expolim': (-3, 3), 'maxterms': 10, 'check_fit': True, 'funs': {'sin': <ufunc 'sin'>, 'cos': <ufunc 'cos'>, 'tan': <ufunc 'tan'>, 'abs': <ufunc 'absolute'>, 'id': <function <lambda> at 0x7f41873c90d0>, 'sqrt.abs': <function <lambda> at 0x7f4181ec5a60>, 'log': <ufunc 'log'>, 'exp': <ufunc 'exp'>}}",1,3,3.1896099997329252,3.2223373593775664
